LOCNAME,GRADE,ANNUAL1,HOURLY1,OVERTIME1,ANNUAL2,HOURLY2,OVERTIME2,ANNUAL3,HOURLY3,OVERTIME3,ANNUAL4,HOURLY4,OVERTIME4,ANNUAL5,HOURLY5,OVERTIME5,ANNUAL6,HOURLY6,OVERTIME6,ANNUAL7,HOURLY7,OVERTIME7,ANNUAL8,HOURLY8,OVERTIME8,ANNUAL9,HOURLY9,OVERTIME9,ANNUAL10,HOURLY10,OVERTIME10
AK,1,24049,11.52,17.28,24854,11.91,17.87,25654,12.29,18.44,26449,12.67,19.01,27249,13.06,19.59,27716,13.28,19.92,28506,13.66,20.49,29305,14.04,21.06,29336,14.06,21.09,30087,14.42,21.63
AK,2,27039,12.96,19.44,27683,13.26,19.89,28578,13.69,20.54,29336,14.06,21.09,29669,14.22,21.33,30542,14.63,21.95,31415,15.05,22.58,32288,15.47,23.21,33161,15.89,23.84,34034,16.31,24.47
AK,3,29502,14.14,21.21,30485,14.61,21.92,31469,15.08,22.62,32452,15.55,23.33,33435,16.02,24.03,34418,16.49,24.74,35401,16.96,25.44,36385,17.43,26.15,37368,17.91,26.87,38351,18.38,27.57
AK,4,33120,15.87,23.81,34224,16.40,24.60,35327,16.93,25.40,36431,17.46,26.19,37534,17.98,26.97,38638,18.51,27.77,39741,19.04,28.56,40845,19.57,29.36,41948,20.10,30.15,43052,20.63,30.95
AK,5,37055,17.76,26.64,38291,18.35,27.53,39526,18.94,28.41,40762,19.53,29.30,41997,20.12,30.18,43232,20.71,31.07,44468,21.31,31.97,45703,21.90,32.85,46939,22.49,33.74,48174,23.08,34.62
AK,6,41304,19.79,29.69,42681,20.45,30.68,44057,21.11,31.67,45433,21.77,32.66,46809,22.43,33.65,48185,23.09,34.64,49562,23.75,35.63,50938,24.41,36.62,52314,25.07,37.61,53690,25.73,38.60
AK,7,45900,21.99,32.99,47430,22.73,34.10,48960,23.46,35.19,50490,24.19,36.29,52020,24.93,37.40,53549,25.66,38.49,55079,26.39,39.59,56609,27.12,40.68,58139,27.86,41.79,59669,28.59,42.89
AK,8,50833,24.36,36.54,52528,25.17,37.76,54223,25.98,38.97,55918,26.79,40.19,57613,27.61,41.42,59308,28.42,42.63,61003,29.23,43.85,62698,30.04,44.45,64393,30.85,44.45,66088,31.67,44.45
AK,9,56146,26.90,40.35,58017,27.80,41.70,59889,28.70,43.05,61761,29.59,44.39,63632,30.49,44.45,65504,31.39,44.45,67376,32.28,44.45,69247,33.18,44.45,71119,34.08,44.45,72991,34.97,44.45
AK,10,61830,29.63,44.45,63891,30.61,44.45,65952,31.60,44.45,68013,32.59,44.45,70074,33.58,44.45,72135,34.56,44.45,74197,35.55,44.45,76258,36.54,44.45,78319,37.53,44.45,80380,38.51,44.45
AK,11,67930,32.55,44.45,70195,33.63,44.45,72459,34.72,44.45,74724,35.80,44.45,76989,36.89,44.45,79253,37.97,44.45,81518,39.06,44.45,83783,40.15,44.45,86047,41.23,44.45,88312,42.32,44.45
AK,12,81421,39.01,44.45,84135,40.31,44.45,86849,41.61,44.45,89563,42.91,44.45,92277,44.22,44.45,94991,45.52,45.52,97705,46.82,46.82,100419,48.12,48.12,103133,49.42,49.42,105847,50.72,50.72
AK,13,96819,46.39,46.39,100046,47.94,47.94,103274,49.48,49.48,106501,51.03,51.03,109729,52.58,52.58,112956,54.12,54.12,116183,55.67,55.67,119411,57.22,57.22,122638,58.76,58.76,125865,60.31,60.31
AK,14,114411,54.82,54.82,118225,56.65,56.65,122039,58.48,58.48,125853,60.30,60.30,129666,62.13,62.13,133480,63.96,63.96,137294,65.79,65.79,141107,67.61,67.61,144921,69.44,69.44,148735,71.27,71.27
AK,15,134578,64.48,64.48,139064,66.63,66.63,143550,68.78,68.78,148036,70.93,70.93,152522,73.08,73.08,157008,75.23,75.23,161493,77.38,77.38,164200,78.68,78.68,164200,78.68,78.68,164200,78.68,78.68
AL,1,21885,10.49,15.74,22617,10.84,16.26,23345,11.19,16.79,24069,11.53,17.30,24797,11.88,17.82,25222,12.09,18.14,25941,12.43,18.65,26668,12.78,19.17,26696,12.79,19.19,27380,13.12,19.68
AL,2,24606,11.79,17.69,25192,12.07,18.11,26006,12.46,18.69,26696,12.79,19.19,26999,12.94,19.41,27793,13.32,19.98,28588,13.70,20.55,29382,14.08,21.12,30177,14.46,21.69,30972,14.84,22.26
AL,3,26847,12.86,19.29,27742,13.29,19.94,28637,13.72,20.58,29532,14.15,21.23,30426,14.58,21.87,31321,15.01,22.52,32216,15.44,23.16,33110,15.86,23.79,34005,16.29,24.44,34900,16.72,25.08
AL,4,30140,14.44,21.66,31144,14.92,22.38,32148,15.40,23.10,33152,15.89,23.84,34157,16.37,24.56,35161,16.85,25.28,36165,17.33,26.00,37169,17.81,26.72,38174,18.29,27.44,39178,18.77,28.16
AL,5,33721,16.16,24.24,34845,16.70,25.05,35969,17.23,25.85,37094,17.77,26.66,38218,18.31,27.47,39342,18.85,28.28,40466,19.39,29.09,41591,19.93,29.90,42715,20.47,30.71,43839,21.01,31.52
AL,6,37588,18.01,27.02,38840,18.61,27.92,40092,19.21,28.82,41345,19.81,29.72,42597,20.41,30.62,43849,21.01,31.52,45102,21.61,32.42,46354,22.21,33.32,47607,22.81,34.22,48859,23.41,35.12
AL,7,41770,20.01,30.02,43162,20.68,31.02,44554,21.35,32.03,45946,22.02,33.03,47339,22.68,34.02,48731,23.35,35.03,50123,24.02,36.03,51515,24.68,37.02,52907,25.35,38.03,54299,26.02,39.03
AL,8,46259,22.17,33.26,47801,22.90,34.35,49344,23.64,35.46,50886,24.38,36.57,52428,25.12,37.68,53971,25.86,38.79,55513,26.60,39.90,57056,27.34,40.44,58598,28.08,40.44,60141,28.82,40.44
AL,9,51093,24.48,36.72,52797,25.30,37.95,54500,26.11,39.17,56203,26.93,40.40,57906,27.75,40.44,59610,28.56,40.44,61313,29.38,40.44,63016,30.19,40.44,64719,31.01,40.44,66422,31.83,40.44
AL,10,56266,26.96,40.44,58142,27.86,40.44,60017,28.76,40.44,61893,29.66,40.44,63769,30.56,40.44,65644,31.45,40.44,67520,32.35,40.44,69396,33.25,40.44,71271,34.15,40.44,73147,35.05,40.44
AL,11,61817,29.62,40.44,63878,30.61,40.44,65939,31.60,40.44,68000,32.58,40.44,70061,33.57,40.44,72122,34.56,40.44,74183,35.55,40.44,76243,36.53,40.44,78304,37.52,40.44,80365,38.51,40.44
AL,12,74094,35.50,40.44,76564,36.69,40.44,79034,37.87,40.44,81503,39.05,40.44,83973,40.24,40.44,86443,41.42,41.42,88913,42.60,42.60,91383,43.79,43.79,93852,44.97,44.97,96322,46.15,46.15
