LOCNAME,GRADE,ANNUAL1,HOURLY1,OVERTIME1,ANNUAL2,HOURLY2,OVERTIME2,ANNUAL3,HOURLY3,OVERTIME3,ANNUAL4,HOURLY4,OVERTIME4,ANNUAL5,HOURLY5,OVERTIME5,ANNUAL6,HOURLY6,OVERTIME6,ANNUAL7,HOURLY7,OVERTIME7,ANNUAL8,HOURLY8,OVERTIME8,ANNUAL9,HOURLY9,OVERTIME9,ANNUAL10,HOURLY10,OVERTIME10
AK,1,25341,12.14,18.21,26191,12.55,18.83,27034,12.95,19.43,27871,13.35,20.03,28714,13.76,20.64,29207,13.99,20.99,30039,14.39,21.59,30880,14.80,22.20,30913,14.81,22.22,31702,15.19,22.79
AK,2,28494,13.65,20.48,29172,13.98,20.97,30116,14.43,21.65,30913,14.81,22.22,31261,14.98,22.47,32180,15.42,23.13,33100,15.86,23.79,34019,16.30,24.45,34938,16.74,25.11,35858,17.18,25.77
AK,3,31090,14.90,22.35,32126,15.39,23.09,33162,15.89,23.84,34198,16.39,24.59,35234,16.88,25.32,36270,17.38,26.07,37306,17.88,26.82,38342,18.37,27.56,39378,18.87,28.31,40414,19.36,29.04
AK,4,34901,16.72,25.08,36064,17.28,25.92,37227,17.84,26.76,38390,18.39,27.59,39553,18.95,28.43,40716,19.51,29.27,41880,20.07,30.11,43043,20.62,30.93,44206,21.18,31.77,45369,21.74,32.61
AK,5,39048,18.71,28.07,40349,19.33,29.00,41651,19.96,29.94,42953,20.58,30.87,44255,21.21,31.82,45557,21.83,32.75,46859,22.45,33.68,48161,23.08,34.62,49463,23.70,35.55,50765,24.32,36.48
AK,6,43526,20.86,31.29,44977,21.55,32.33,46428,22.25,33.38,47879,22.94,34.41,49330,23.64,35.46,50781,24.33,36.50,52232,25.03,37.55,53683,25.72,38.58,55134,26.42,39.63,56585,27.11,40.67
AK,7,48368,23.18,34.77,49980,23.95,35.93,51592,24.72,37.08,53204,25.49,38.24,54815,26.26,39.39,56427,27.04,40.56,58039,27.81,41.72,59651,28.58,42.87,61263,29.35,44.03,62874,30.13,45.20
AK,8,53567,25.67,38.51,55352,26.52,39.78,57138,27.38,41.07,58923,28.23,42.35,60709,29.09,43.64,62494,29.94,44.91,64280,30.80,46.20,66066,31.66,46.83,67851,32.51,46.83,69637,33.37,46.83
AK,9,59165,28.35,42.53,61137,29.29,43.94,63109,30.24,45.36,65081,31.18,46.77,67054,32.13,46.83,69026,33.07,46.83,70998,34.02,46.83,72970,34.96,46.83,74943,35.91,46.83,76915,36.85,46.83
AK,10,65154,31.22,46.83,67326,32.26,46.83,69498,33.30,46.83,71670,34.34,46.83,73842,35.38,46.83,76014,36.42,46.83,78186,37.46,46.83,80358,38.50,46.83,82530,39.54,46.83,84702,40.59,46.83
AK,11,71583,34.30,46.83,73969,35.44,46.83,76355,36.59,46.83,78741,37.73,46.83,81127,38.87,46.83,83513,40.02,46.83,85899,41.16,46.83,88285,42.30,46.83,90670,43.45,46.83,93056,44.59,46.83
